"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1 year"	"1"	"Female"	"F"	"White"	"2106-3"	57	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1 year"	"1"	"Male"	"M"	"White"	"2106-3"	87	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2 years"	"2"	"Female"	"F"	"White"	"2106-3"	47	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2 years"	"2"	"Male"	"M"	"White"	"2106-3"	73	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"3 years"	"3"	"Female"	"F"	"White"	"2106-3"	36	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"3 years"	"3"	"Male"	"M"	"White"	"2106-3"	48	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"4 years"	"4"	"Female"	"F"	"White"	"2106-3"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"4 years"	"4"	"Male"	"M"	"White"	"2106-3"	37	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"5 years"	"5"	"Female"	"F"	"White"	"2106-3"	33	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"5 years"	"5"	"Male"	"M"	"White"	"2106-3"	35	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"6 years"	"6"	"Female"	"F"	"White"	"2106-3"	45	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"6 years"	"6"	"Male"	"M"	"White"	"2106-3"	42	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"7 years"	"7"	"Female"	"F"	"White"	"2106-3"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"7 years"	"7"	"Male"	"M"	"White"	"2106-3"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"8 years"	"8"	"Female"	"F"	"White"	"2106-3"	24	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"8 years"	"8"	"Male"	"M"	"White"	"2106-3"	25	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"9 years"	"9"	"Female"	"F"	"White"	"2106-3"	29	Not Applicable	Not Applicable
