"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"20 years"	"20"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"22 years"	"22"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"26 years"	"26"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"27 years"	"27"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"31 years"	"31"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35 years"	"35"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"36 years"	"36"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"37 years"	"37"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"38 years"	"38"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"39 years"	"39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"39 years"	"39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	21	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"41 years"	"41"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"41 years"	"41"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"42 years"	"42"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"43 years"	"43"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"44 years"	"44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	12	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"44 years"	"44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45 years"	"45"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	19	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45 years"	"45"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"46 years"	"46"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"46 years"	"46"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"47 years"	"47"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"47 years"	"47"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	20	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"48 years"	"48"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"48 years"	"48"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	25	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"49 years"	"49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"49 years"	"49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	22	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"50 years"	"50"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	14	Not Applicable	Not Applicable
