"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	27	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	27	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2 years"	"2"	"Female"	"F"	"Black or African American"	"2054-5"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2 years"	"2"	"Male"	"M"	"Black or African American"	"2054-5"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"3 years"	"3"	"Male"	"M"	"Black or African American"	"2054-5"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"4 years"	"4"	"Male"	"M"	"Black or African American"	"2054-5"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"5 years"	"5"	"Male"	"M"	"Black or African American"	"2054-5"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"6 years"	"6"	"Male"	"M"	"Black or African American"	"2054-5"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"8 years"	"8"	"Male"	"M"	"Black or African American"	"2054-5"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"9 years"	"9"	"Male"	"M"	"Black or African American"	"2054-5"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"10 years"	"10"	"Female"	"F"	"Black or African American"	"2054-5"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"10 years"	"10"	"Male"	"M"	"Black or African American"	"2054-5"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"12 years"	"12"	"Male"	"M"	"Black or African American"	"2054-5"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"13 years"	"13"	"Female"	"F"	"Black or African American"	"2054-5"	10	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"13 years"	"13"	"Male"	"M"	"Black or African American"	"2054-5"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"14 years"	"14"	"Male"	"M"	"Black or African American"	"2054-5"	20	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15 years"	"15"	"Female"	"F"	"Black or African American"	"2054-5"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15 years"	"15"	"Male"	"M"	"Black or African American"	"2054-5"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"16 years"	"16"	"Female"	"F"	"Black or African American"	"2054-5"	13	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"16 years"	"16"	"Male"	"M"	"Black or African American"	"2054-5"	39	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"17 years"	"17"	"Female"	"F"	"Black or African American"	"2054-5"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"17 years"	"17"	"Male"	"M"	"Black or African American"	"2054-5"	57	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"18 years"	"18"	"Female"	"F"	"Black or African American"	"2054-5"	14	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"18 years"	"18"	"Male"	"M"	"Black or African American"	"2054-5"	85	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"19 years"	"19"	"Female"	"F"	"Black or African American"	"2054-5"	18	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"19 years"	"19"	"Male"	"M"	"Black or African American"	"2054-5"	76	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"20 years"	"20"	"Female"	"F"	"Black or African American"	"2054-5"	29	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"20 years"	"20"	"Male"	"M"	"Black or African American"	"2054-5"	104	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"21 years"	"21"	"Female"	"F"	"Black or African American"	"2054-5"	33	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"21 years"	"21"	"Male"	"M"	"Black or African American"	"2054-5"	103	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"22 years"	"22"	"Female"	"F"	"Black or African American"	"2054-5"	36	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"22 years"	"22"	"Male"	"M"	"Black or African American"	"2054-5"	125	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"23 years"	"23"	"Female"	"F"	"Black or African American"	"2054-5"	32	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"23 years"	"23"	"Male"	"M"	"Black or African American"	"2054-5"	109	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"24 years"	"24"	"Female"	"F"	"Black or African American"	"2054-5"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"24 years"	"24"	"Male"	"M"	"Black or African American"	"2054-5"	101	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25 years"	"25"	"Female"	"F"	"Black or African American"	"2054-5"	33	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25 years"	"25"	"Male"	"M"	"Black or African American"	"2054-5"	91	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"26 years"	"26"	"Female"	"F"	"Black or African American"	"2054-5"	28	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"26 years"	"26"	"Male"	"M"	"Black or African American"	"2054-5"	104	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"27 years"	"27"	"Female"	"F"	"Black or African American"	"2054-5"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"27 years"	"27"	"Male"	"M"	"Black or African American"	"2054-5"	107	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"28 years"	"28"	"Female"	"F"	"Black or African American"	"2054-5"	37	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"28 years"	"28"	"Male"	"M"	"Black or African American"	"2054-5"	113	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"29 years"	"29"	"Female"	"F"	"Black or African American"	"2054-5"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"29 years"	"29"	"Male"	"M"	"Black or African American"	"2054-5"	101	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"30 years"	"30"	"Female"	"F"	"Black or African American"	"2054-5"	36	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"30 years"	"30"	"Male"	"M"	"Black or African American"	"2054-5"	81	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"31 years"	"31"	"Female"	"F"	"Black or African American"	"2054-5"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"31 years"	"31"	"Male"	"M"	"Black or African American"	"2054-5"	99	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"32 years"	"32"	"Female"	"F"	"Black or African American"	"2054-5"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"32 years"	"32"	"Male"	"M"	"Black or African American"	"2054-5"	109	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"33 years"	"33"	"Female"	"F"	"Black or African American"	"2054-5"	57	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"33 years"	"33"	"Male"	"M"	"Black or African American"	"2054-5"	112	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"34 years"	"34"	"Female"	"F"	"Black or African American"	"2054-5"	55	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"34 years"	"34"	"Male"	"M"	"Black or African American"	"2054-5"	104	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35 years"	"35"	"Female"	"F"	"Black or African American"	"2054-5"	49	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35 years"	"35"	"Male"	"M"	"Black or African American"	"2054-5"	110	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"36 years"	"36"	"Female"	"F"	"Black or African American"	"2054-5"	67	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"36 years"	"36"	"Male"	"M"	"Black or African American"	"2054-5"	110	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"37 years"	"37"	"Female"	"F"	"Black or African American"	"2054-5"	103	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"37 years"	"37"	"Male"	"M"	"Black or African American"	"2054-5"	142	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"38 years"	"38"	"Female"	"F"	"Black or African American"	"2054-5"	88	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"38 years"	"38"	"Male"	"M"	"Black or African American"	"2054-5"	116	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"39 years"	"39"	"Female"	"F"	"Black or African American"	"2054-5"	116	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"39 years"	"39"	"Male"	"M"	"Black or African American"	"2054-5"	138	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"40 years"	"40"	"Female"	"F"	"Black or African American"	"2054-5"	108	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"40 years"	"40"	"Male"	"M"	"Black or African American"	"2054-5"	148	Not Applicable	Not Applicable
